day,month,year,hour,minute,temp
21,2,2018,18,0,24.2404347826
21,2,2018,18,1,24.2143478261
21,2,2018,18,2,24.1930434783
21,2,2018,18,3,24.1717391304
21,2,2018,18,4,24.1410869565
21,2,2018,18,5,24.117173913
21,2,2018,18,6,24.0932608696
21,2,2018,18,7,24.0673913043
21,2,2018,18,8,24.0456521739
21,2,2018,18,9,24.0271111111
21,2,2018,18,10,24.0026086957
21,2,2018,18,11,23.9786956522
21,2,2018,18,12,23.957826087
21,2,2018,18,13,23.937173913
21,2,2018,18,14,23.9156521739
21,2,2018,18,15,23.9028888889
21,2,2018,18,16,23.923
21,2,2018,18,17,23.8602173913
21,2,2018,18,18,23.8417391304
21,2,2018,18,19,23.8217391304
21,2,2018,18,20,23.8058695652
21,2,2018,18,21,23.7858695652
21,2,2018,18,22,23.762826087
